model,sampler,prop,MR,MRR,hits@1,hits@5,hits@10
MuRE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P37,3274.032258064516,0.06250153425409692,0.016129032258064516,0.07258064516129033,0.14516129032258066
MuRE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P37,1739.258064516129,0.11218847705169492,0.016129032258064516,0.1935483870967742,0.27419354838709675
MuRE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P37,2461.6451612903224,0.1000974527457194,0.024193548387096774,0.13709677419354838,0.3064516129032258
MuRE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P37,1096.516129032258,0.13806076265906939,0.056451612903225805,0.20967741935483872,0.31451612903225806
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P131,19075.69230769231,0.05201262894292344,0.03076923076923077,0.07032967032967033,0.08571428571428572
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P131,23529.037362637362,0.09425941313229073,0.06373626373626373,0.13406593406593406,0.14945054945054945
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P131,35321.043956043955,0.04301968397531928,0.03296703296703297,0.046153846153846156,0.07692307692307693
RotatE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P131,32987.907692307694,0.08403028019890443,0.05714285714285714,0.0989010989010989,0.14725274725274726
TransE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P131,25577.48131868132,0.013550947827718074,0.0,0.013186813186813187,0.03076923076923077
TransE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P131,23167.870329670328,0.024020328554214068,0.015384615384615385,0.026373626373626374,0.035164835164835165
TransE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P131,23387.874725274723,0.0055317964934364925,0.0,0.006593406593406593,0.013186813186813187
TransE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P131,25879.27912087912,0.0012683637246915288,0.0,0.0,0.002197802197802198
MuRE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P131,17169.44175824176,0.027092060702907237,0.013186813186813187,0.03296703296703297,0.04835164835164835
MuRE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P131,16671.516483516483,0.02856479682643785,0.017582417582417582,0.035164835164835165,0.04395604395604396
MuRE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P131,17975.23076923077,0.026809819803024448,0.017582417582417582,0.02857142857142857,0.03736263736263736
MuRE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P131,14738.584615384616,0.036421644809039685,0.02197802197802198,0.046153846153846156,0.05714285714285714
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P57,24023.0,4.1626774341256295e-05,0.0,0.0,0.0
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P57,17258.0,5.794414184725924e-05,0.0,0.0,0.0
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P57,86793.0,1.152166649384167e-05,0.0,0.0,0.0
RotatE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P57,12644.0,7.908889591901297e-05,0.0,0.0,0.0
TransE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P57,57539.0,1.737951650185092e-05,0.0,0.0,0.0
TransE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P57,33210.0,3.0111412225233363e-05,0.0,0.0,0.0
TransE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P57,2870.0,0.0003484320557491289,0.0,0.0,0.0
TransE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P57,45115.0,2.216557685913776e-05,0.0,0.0,0.0
MuRE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P57,62960.0,1.588310038119441e-05,0.0,0.0,0.0
MuRE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P57,22087.0,4.52755014261783e-05,0.0,0.0,0.0
MuRE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P57,42914.0,2.3302418791070512e-05,0.0,0.0,0.0
MuRE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P57,99616.0,1.003854802441375e-05,0.0,0.0,0.0
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P136,16523.128571428573,0.06759110168040229,0.02857142857142857,0.1,0.11428571428571428
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P136,10389.257142857143,0.13617768070016215,0.02857142857142857,0.37142857142857144,0.44285714285714284
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P136,26049.114285714284,0.14616889239535155,0.1,0.22857142857142856,0.24285714285714285
RotatE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P136,10468.128571428571,0.2216327577508399,0.08571428571428572,0.38571428571428573,0.44285714285714284
TransE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P136,5372.4857142857145,0.20169460295166688,0.11428571428571428,0.3,0.42857142857142855
TransE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P136,6402.714285714285,0.18577102844030144,0.11428571428571428,0.3,0.34285714285714286
TransE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P136,4342.657142857143,0.11117918132029808,0.014285714285714285,0.2571428571428571,0.35714285714285715
TransE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P136,6895.714285714285,0.09102510639284393,0.02857142857142857,0.11428571428571428,0.24285714285714285
MuRE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P136,4121.9857142857145,0.1321404379723312,0.05714285714285714,0.2,0.2714285714285714
MuRE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P136,3174.9285714285716,0.1877002413357777,0.07142857142857142,0.3,0.4
MuRE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P136,4537.9,0.1651679360257908,0.08571428571428572,0.24285714285714285,0.32857142857142857
MuRE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P136,3578.9142857142856,0.17411723463281728,0.1,0.22857142857142856,0.3
